koi_disposition,orbital_period,transit_duration,transit_depth,planet_radius,stellar_logg,stellar_radius,insolation,eq_temp,mag,model_snr,ra,dec,mission,stellar_teff
CONFIRMED,9.75192101,4.793,418,2.76,4.405,1.053,135.66,870,15.386,28.5,290.46176,40.562462,Kepler,
CONFIRMED,38.5576546,5.794,993,4.02,4.405,1.053,21.71,550,15.386,39.7,290.46176,40.562462,Kepler,
CONFIRMED,3.525632539,2.59959,22335,11.58,4.572,0.793,213.12,975,15.224,1996.7,290.58173,40.5774,Kepler,
CANDIDATE,34.84398644,2.9315,4523.6,7.61,4.482,0.871,16.1,511,15.684,76.8,285.92001,39.624828,Kepler,
CONFIRMED,7.748094239,3.5957,2472.1,5.52,4.439,1.085,204.39,964,15.67,113.2,294.4899,39.771439,Kepler,
CONFIRMED,23.96793669,3.827,1182.3,1.8,4.728,0.524,2.77,329,15.414,27.5,283.86639,39.898079,Kepler,
CONFIRMED,8.29561738,1.3421,824.3,1.82,4.728,0.524,11.39,469,15.414,17.9,283.86639,39.898079,Kepler,
CONFIRMED,8.11437482,2.2736,1558,2.1,4.753,0.517,10.55,460,15.877,56.4,288.81201,40.033401,Kepler,
FALSE POSITIVE,38.03672948,4.34617,82872,27.5,4.521,0.932,14.81,500,15.472,1300,294.14789,40.055538,Kepler,
CANDIDATE,4.64090031,35.512,2450.6,30.09,4.5,0.826,421.08,1155,15.27,296.9,295.11371,40.071171,Kepler,
FALSE POSITIVE,3.747838198,5.0642,616,13.65,4.569,0.826,266.76,1031,13.496,138.2,291.06152,50.265129,Kepler,
CONFIRMED,14.74914825,6.0995,430.2,2.89,4.191,1.402,137.91,874,12.487,107.4,297.02826,48.208611,Kepler,
CONFIRMED,21.81295996,4.3791,1175.4,3.38,4.41,0.999,39.33,639,15.54,37.8,294.77686,40.15374,Kepler,
FALSE POSITIVE,7.91936937,3.3148,15148,10.34,4.588,0.776,104,814,15.805,389,283.53845,40.217999,Kepler,
CANDIDATE,1.028436523,1.8606,8098,72.77,4.428,0.99,3400.48,1947,15.202,89.6,296.00699,40.295429,Kepler,
CONFIRMED,15.37562369,3.3169,15337,11.01,4.496,0.833,30.54,600,16.422,166,283.25354,40.358189,Kepler,
CONFIRMED,8.10363271,3.161,887.9,2.11,4.574,0.732,52.82,687,15.289,39.3,283.22141,40.421829,Kepler,
CONFIRMED,4.71510843,2.506,417.5,1.46,4.574,0.732,108.84,823,15.289,21.3,283.22141,40.421829,Kepler,
CONFIRMED,6.365839713,2.9721,780.7,2.44,4.554,0.849,165.33,914,15.09,70.8,291.14951,40.420521,Kepler,
FALSE POSITIVE,5.97581754,3.065,962.4,3.86,4.471,0.997,284.25,1047,15.546,50.3,294.22397,40.417858,Kepler,
FALSE POSITIVE,2.446737317,4.7211,1177.9,26.25,4.548,0.863,597.19,1261,15.021,110.2,298.96112,40.862808,Kepler,
CONFIRMED,3.04033046,1.8411,10859,8.99,4.519,0.791,257.29,1021,15.028,568.2,299.3161,40.82238,Kepler,
CONFIRMED,15.33528675,3.897,3081.4,5,4.581,0.817,32.67,610,15.855,86.6,292.23676,41.08588,Kepler,
CONFIRMED,7.95825328,4.377,50,1.06,4.191,1.402,314.15,1074,12.487,14.7,297.02826,48.208611,Kepler,
CONFIRMED,31.33046135,5.176,5073.8,6.5,4.581,0.817,12.61,481,15.855,117.2,292.23676,41.08588,Kepler,
FALSE POSITIVE,3.9043425,3.831,16228,12.28,4.526,0.898,351.05,1104,15.016,323.4,294.05676,40.549679,Kepler,
FALSE POSITIVE,9.286358079,3.49949,44791,17.61,4.523,0.821,95.03,796,15.365,1671.1,294.74396,40.53392,Kepler,
FALSE POSITIVE,3.951405455,2.1862,2453.9,31.44,4.539,0.869,388.71,1133,15.446,117.2,295.50439,40.505489,Kepler,
CONFIRMED,23.65369415,8.2183,3341.8,7.89,4.191,1.384,67.65,731,15.084,266.3,287.89713,40.637821,Kepler,
CONFIRMED,13.23352214,6.7372,504.6,3.06,4.191,1.384,146.67,888,15.084,49.1,287.89713,40.637821,Kepler,
CONFIRMED,6.15560285,4.9843,285,2.32,4.191,1.384,406.94,1146,15.084,35.1,287.89713,40.637821,Kepler,
CONFIRMED,2.090811305,3.388,115.9,1.62,4.191,1.384,1718.04,1642,15.084,19.9,287.89713,40.637821,Kepler,
CONFIRMED,3.180027898,3.5797,120.3,1.53,4.191,1.402,1066.86,1458,12.487,50.4,297.02826,48.208611,Kepler,
CONFIRMED,50.4467417,7.159,370.3,2.67,4.191,1.384,24.64,568,15.084,19.4,287.89713,40.637821,Kepler,
CONFIRMED,11.76307164,2.9076,1037.3,2.35,4.603,0.756,33.99,616,15.208,48.9,294.20215,40.66341,Kepler,
CONFIRMED,56.2279271,3.57,862.7,2.37,4.603,0.756,4.22,366,15.208,20.9,294.20215,40.66341,Kepler,
FALSE POSITIVE,2.384052875,3.0918,1268.1,17.06,4.58,0.701,244.87,1010,15.836,50.5,299.64285,40.691238,Kepler,
CONFIRMED,7.953547,2.6312,875.4,2.25,4.536,0.779,55.37,696,15.66,38.4,291.15878,40.750271,Kepler,
CONFIRMED,4.14451656,2.3421,391.8,1.48,4.536,0.779,132.08,864,15.66,22.8,291.15878,40.750271,Kepler,
FALSE POSITIVE,4.859386384,2.2757,6044.3,38.33,4.47,0.988,364.23,1114,15.311,269.7,292.21436,40.759762,Kepler,
CONFIRMED,10.52629458,2.5211,9768,8.24,4.553,0.793,61.16,713,15.305,482.3,293.87811,41.66177,Kepler,
CONFIRMED,4.583520948,2.7055,3812.1,5.39,4.54,0.877,274.98,1038,15.287,99.5,299.18686,41.74268,Kepler,
CONFIRMED,3.76181843,3.5176,510.6,2.66,4.472,0.949,372.62,1121,15.257,35.9,283.31638,41.83712,Kepler,
CONFIRMED,8.20396958,2.9667,1024.4,3.01,4.499,0.826,71.5,742,15.376,54.4,286.5657,41.808399,Kepler,
CONFIRMED,14.49645186,4.016,647.5,3.01,4.499,0.826,33.48,613,15.376,25.7,286.5657,41.808399,Kepler,
CONFIRMED,6.54626149,2.75,655.9,2.19,4.581,0.817,101.78,810,15.855,24.8,292.23676,41.08588,Kepler,
CONFIRMED,12.71809866,3.0957,1149.4,2.31,4.592,0.686,23.6,562,15.389,52.7,292.91312,41.060921,Kepler,
CONFIRMED,36.06588163,4.3246,1563.8,2.64,4.592,0.686,5.88,397,15.389,51.7,292.91312,41.060921,Kepler,
CONFIRMED,4.190425659,2.8589,2877.4,6.21,4.392,1.135,547.9,1234,15.27,240.6,293.49661,41.137589,Kepler,
CONFIRMED,3.709870784,3.0694,2020.3,4.35,4.463,0.978,415.1,1151,15.581,116.1,283.86441,41.346458,Kepler,
CONFIRMED,16.3297527,6.271,1187.5,3.75,4.444,0.987,66.08,727,15.447,74.6,288.51001,41.301769,Kepler,
CONFIRMED,27.80756622,4.21587,25391,13.84,4.584,0.785,22.24,554,15.482,748.1,296.88821,41.396091,Kepler,
CONFIRMED,80.8723469,11.195,3604.6,7.59,4.222,1.238,9.88,452,15.201,160.9,287.1543,41.565788,Kepler,
FALSE POSITIVE,3.166465862,2.9381,4357.2,26.82,4.575,0.704,196.31,954,15.999,122.1,284.86929,41.679192,Kepler,
CONFIRMED,24.99324319,5.9409,269.6,2.29,4.181,1.317,60.88,712,12.377,62,287.36279,38.649601,Kepler,
CONFIRMED,10.35533116,3.1775,750.6,2.47,4.462,0.918,86.22,777,15.018,49.2,288.9942,41.633282,Kepler,
CONFIRMED,16.08518937,3.984,1442.4,3.68,4.523,0.826,33.43,613,15.219,62.6,292.10519,42.380322,Kepler,
CANDIDATE,235.9986399,8.2284,20715,10.59,4.627,0.657,0.29,188,15.172,271.8,293.00797,42.307201,Kepler,
CONFIRMED,7.49018305,2.7297,1123.6,2.56,4.562,0.787,76.06,753,15.599,53,291.63898,42.436321,Kepler,
CONFIRMED,36.2761238,4.7865,1572.6,3.03,4.562,0.787,9.29,445,15.599,45.5,291.63898,42.436321,Kepler,
CONFIRMED,17.46087931,2.2641,812.4,2.32,4.562,0.787,24.6,568,15.599,22.6,291.63898,42.436321,Kepler,
CONFIRMED,56.0560754,4.685,1626,1.94,4.757,0.491,0.69,233,15.849,27.4,289.50848,41.812119,Kepler,
CONFIRMED,41.40831669,5.0264,22839,11.38,4.586,0.747,9.93,453,15.196,907.8,291.76041,41.944069,Kepler,
CANDIDATE,39.74893077,7.3051,15179,14.21,4.487,0.964,21.87,552,15.344,561.1,293.17929,41.969238,Kepler,
CONFIRMED,5.715425977,2.5242,908.1,2.47,4.572,0.826,123.03,850,15.086,59.4,285.11047,42.033958,Kepler,
CONFIRMED,49.18394185,11.3364,1646.2,8.2,3.907,2.057,47.4,669,12.654,355.7,294.55917,46.062328,Kepler,
CONFIRMED,20.0261412,1.611,421.2,2.28,4.572,0.826,23.14,559,15.086,10.7,285.11047,42.033958,Kepler,
CANDIDATE,13.61014819,2.594,5732.9,19.02,4.46,0.903,68.29,733,15.06,184.1,289.89777,42.009151,Kepler,
FALSE POSITIVE,10.44331991,2.743,1159.8,2.66,4.516,0.802,46.94,667,15.546,51.7,286.24356,42.148811,Kepler,
CONFIRMED,2.237489571,1.8119,315.8,1.41,4.58,0.81,427.17,1160,15.001,30.7,290.00757,42.116459,Kepler,
FALSE POSITIVE,5.851520671,3.11058,33004,14.62,4.53,0.806,155.89,901,15.33,1630.4,284.08731,42.233231,Kepler,
CONFIRMED,3.167893418,2.1814,781.2,2.62,4.503,0.94,526.23,1221,15.533,64.8,293.81647,42.212502,Kepler,
CONFIRMED,4.311780262,2.7251,1154,3.11,4.484,0.927,274.84,1038,15.604,86.1,287.24268,42.301369,Kepler,
CONFIRMED,20.0504494,4.556,840.9,2.69,4.484,0.927,35.44,622,15.604,37.8,287.24268,42.301369,Kepler,
CONFIRMED,9.76734503,1.6585,569.1,2.67,4.484,0.927,92.46,791,15.604,21.1,287.24268,42.301369,Kepler,
CANDIDATE,119.0207044,8.1405,7430.5,8.98,4.342,1.062,4.25,366,15.085,223.5,291.58377,42.36816,Kepler,
CONFIRMED,190.3200468,15.284,1141.7,7.78,3.907,2.057,7.8,426,12.654,139.3,294.55917,46.062328,Kepler,
FALSE POSITIVE,2.861159894,1.8832,1014.3,4.37,4.458,1.021,797.1,1355,15.618,58.3,291.67172,42.343109,Kepler,
CONFIRMED,26.44439337,3.9783,1843.5,3.91,4.463,0.929,23.54,562,15.158,88,292.87338,42.966141,Kepler,
CONFIRMED,51.53997972,6.3994,3644.3,5.51,4.463,0.929,9.67,450,15.158,155.5,292.87338,42.966141,Kepler,
CONFIRMED,5.902245782,2.9003,702.3,2.43,4.463,0.929,173.74,926,15.158,59.3,292.87338,42.966141,Kepler,
CONFIRMED,2.382951591,1.8876,391.6,1.86,4.463,0.929,583.01,1253,15.158,41.4,292.87338,42.966141,Kepler,
CONFIRMED,21.02250608,4.1072,1772.5,3.07,4.585,0.75,17.48,521,15.859,62.4,294.90973,42.935261,Kepler,
CONFIRMED,3.219814777,2.0642,488.2,1.69,4.562,0.787,234.93,998,15.599,30.5,291.63898,42.436321,Kepler,
CONFIRMED,5.912273234,2.3254,961.4,1.73,4.696,0.57,27.72,585,15.036,62.8,292.13702,42.42942,Kepler,
CONFIRMED,8.98581901,2.8606,881.3,1.65,4.696,0.57,15.9,509,15.036,51.8,292.13702,42.42942,Kepler,
CANDIDATE,12.94066866,2.4845,42450,22.94,4.572,0.809,64.64,723,15.215,307.5,291.11969,42.507069,Kepler,
