toi,tid,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,koi_disposition
6949.01,45905504,93.036822,20.577124,0.521,-5.201,2460280.812,3.2232502,3.185,7301,11.4574,1730.82,1796,13.4456,1116.31,7164.1,4.33,1.44,CANDIDATE
695.01,55559618,73.138235,-64.928868,-21.123,106.744,2458346.404,21.3764237,4.7666334,786.0019744,2.6824173,23.8245444,563.4766198,10.749,144.045,5591,4.38111,0.811463,CANDIDATE
6950.01,165965790,110.741054,22.48931,4.495,-1.381,2460284.72,2.0478359,1.559,40591,12.2554,71.7485,810,14.9577,370.553,3854,4.63,0.63,CANDIDATE
6951.01,83180637,94.245362,24.803014,-1.241,2.73,2460279.795,3.7279887,3.303,13982,18.1003,859.131,1508,13.3694,1030.88,6514,4.17,1.58,CANDIDATE
6952.01,400466395,92.092038,33.732462,8.053,5.595,2460311.735,5.1391542,0.633,6171,10.2495,26.3552,631,12.2479,388.991,5974.6,4.48,1,FALSE POSITIVE
6954.01,443607377,168.324059,-2.787764,-19.001,-6.667,2460283.831,4.0207557,2.017,1556,3.74825,124.569,930,11.4374,190.042,5019.9,4.41,0.95,CANDIDATE
6955.01,81963214,92.934009,25.038945,-4.606,-1.27,2460277.209,5.1185703,6.274,2687,11.7972,2080.26,1881,12.1032,1020.81,6547.8,3.76,2.55,CANDIDATE
6956.01,294350792,93.081227,13.953313,-3.456,3.792,2460276.864,12.3900547,5.787,6904,9.88852,327.708,1185,13.4137,1048.28,6824.2,4.36,1.33,CANDIDATE
6957.01,30853990,75.793998,-66.358346,58.64,182.902,2458377.046,160.6760208,9.5344918,959.8285715,3.2160534,2.4672264,319.6480066,10.8865,176.682,5389.7,4.29499,1.02412,CANDIDATE
6958.01,219108677,271.178306,70.430348,-8.059,32.577,2460316.951,5.9815745,2.5574444,41908.6246,13.6663996,46.0989705,664.5727909,14.034,338.369,4403,4.6285,0.667127,CANDIDATE
6959.01,230013442,291.191388,64.618252,7.457,-4.983,2460313.989,3.1381914,2.7306785,15708.96403,12.7099203,418.5038868,1153.571781,14.3021,804.639,5210,4.37321,1.0165401,CANDIDATE
696.01,77156829,68.178987,-39.790874,239.41,-967.772,2458411.474,0.8602406,0.5124345,719.5357708,0.9718795,112.3971391,830.4405814,10.4276,19.8782,3450,4.89044,0.33819,CONFIRMED
696.02,77156829,68.178987,-39.790874,239.41,-967.772,2458411.068,3.6942604,1.1278521,832.8225921,1.0428407,16.1019503,510.9040793,10.4276,19.8782,3450,4.89044,0.33819,CONFIRMED
696.03,77156829,68.178987,-39.790874,239.41,-967.772,2458414.563,4.9652069,0.9361524,633.0580849,0.8566925,10.8558882,462.9521337,10.4276,19.8782,3450,4.89044,0.33819,CONFIRMED
6961.01,404715325,30.218314,12.583289,8.644,-7.14,2459460.591,17.2367433,5.529651,946.1500622,3.9264923,83.13956,770.1435456,11.0921,271.527,5911.15,4.33608,1.1687,CANDIDATE
6962.01,435339558,55.255931,13.519187,7.923,-41.247,2459456.139,21.9903619,3.8732381,1122.302109,4.6034655,56.4700581,699.156353,11.2235,256.011,5294,4.14669,1.33417,CONFIRMED
6963.01,56658270,63.928339,29.166542,12.336,-17.754,2459475.616,8.8349261,6.2442811,6132.255344,9.0595904,41.4198706,647.0263001,12.8131,159.244,3303,3.84689,1.1499799,CONFIRMED
6964.01,243208884,45.860656,17.808283,32.63,17.103,2460210.583,4.7645838,0.9332304,855.7217275,3.1594083,288.0706551,1050.738159,10.0394,131.527,5432.25,4.37517,1.0462199,CANDIDATE
6965.01,80224448,103.678273,24.245141,-35.915,-96.881,2459505.194,5.9693397,3.441038,105.5424205,1.3473608,334.6170929,1090.829263,6.3103,31.1664,6007,4.37729,1.12993,CANDIDATE
6965.02,80224448,103.678273,24.245141,-35.915,-96.881,2459508.009,28.0693949,6.0393818,154.3008171,1.6221344,42.4755605,651.1102456,6.3103,31.1664,6007,4.37729,1.12993,CANDIDATE
6966.01,243030574,61.131862,16.216647,-8.143,-9.441,2459449.712,2.1659522,1.5926216,431.2815173,2.9108183,1867.880408,1676.706378,10.6839,216.411,6194.54,4.28076,1.30635,CANDIDATE
6967.01,27635334,123.381848,16.419516,-6.874,-22.723,2459502.376,4.7335575,3.2089234,930.2503519,5.3852666,850.4828102,1377.324062,11.6736,477.295,5496,3.93163,1.75896,CONFIRMED
6968.01,121990418,289.332853,38.348899,-0.242,-12.602,2460340.704,2.3475051,2.8281222,1972.371829,5.4152906,1270.918132,1522.822004,12.0086,430.708,5924,4.31001,1.20432,CANDIDATE
6969.01,17129975,308.160533,40.778443,-2.017,-15.301,2460340.479,1.5142292,1.7190416,5271.455864,11.6042711,4024.597942,2031.423044,12.367,658.741,6616,4.2907,1.39196,FALSE POSITIVE
6969.02,17129975,308.160533,40.778443,-2.017,-15.301,2460342.86,4.5565614,2.7966471,5389.410619,11.372041,926.3925066,1407.079086,12.367,658.741,6616,4.2907,1.39196,CANDIDATE
